Anio Registro,Antiguo Clasico,Clase,Departamento,Marca,Servicio
1994,NORMAL,CAMIONETA,Meta,MITSUBISHI,Diplomatico
2017,NORMAL,MOTOCARRO,Cundinamarca,XINLING,Particular
2017,NORMAL,MOTOCARRO,Guaviare,XINLING,Particular
2017,NORMAL,MOTOCARRO,Huila,XINLING,Particular
2017,NORMAL,MOTOCARRO,Cundinamarca,XINLING,Particular
2017,NORMAL,MOTOCARRO,Choco,XINLING,Particular
2015,NORMAL,CAMION,Bolivar,JMC,Publico
2015,NORMAL,CAMION,Norte de Santander,JMC,Publico
2015,NORMAL,CAMION,Norte de Santander,JMC,Publico
2015,NORMAL,CAMION,Cundinamarca,JMC,Publico
2016,NORMAL,CAMION,Cundinamarca,JMC,Oficial
2016,NORMAL,CAMION,Atlantico,JMC,Publico
2015,NORMAL,CAMION,Atlantico,JMC,Publico
2015,NORMAL,CAMION,Atlantico,JMC,Publico
2016,NORMAL,CAMION,Atlantico,JMC,Publico
2016,NORMAL,CAMION,Cundinamarca,JMC,Publico
2016,NORMAL,MOTOCICLETA,Santander,BAJAJ,Particular
2016,NORMAL,MOTOCICLETA,Antioquia,VESPA,Particular
2016,NORMAL,CAMION,Caldas,CHEVROLET,Publico
2016,NORMAL,CAMION,Atlantico,CHEVROLET,Publico
2016,NORMAL,CAMION,Antioquia,CHEVROLET,Publico
2016,NORMAL,CAMION,Antioquia,CHEVROLET,Publico
2016,NORMAL,VOLQUETA,Cundinamarca,CHEVROLET,Publico
2016,NORMAL,CAMION,Narino,CHEVROLET,Publico
2016,NORMAL,VOLQUETA,Antioquia,CHEVROLET,Publico
2016,NORMAL,CAMION,Cundinamarca,CHEVROLET,Publico
2016,NORMAL,CAMION,Cundinamarca,CHEVROLET,Publico
2016,NORMAL,CAMION,Cundinamarca,CHEVROLET,Publico
2016,NORMAL,CAMION,Antioquia,CHEVROLET,Publico
2016,NORMAL,BUS,Bogota D.C.,CHEVROLET,Oficial
2016,NORMAL,BUS,Antioquia,CHEVROLET,Publico
2016,NORMAL,BUS,Valle del Cauca,CHEVROLET,Publico
2016,NORMAL,BUSETA,Bogota D.C.,CHEVROLET,Oficial
2016,NORMAL,BUS,Antioquia,CHEVROLET,Publico
2016,NORMAL,BUS,Valle del Cauca,CHEVROLET,Publico
2016,NORMAL,BUS,Antioquia,CHEVROLET,Publico
2016,NORMAL,BUS,Valle del Cauca,CHEVROLET,Publico
2016,NORMAL,BUS,Huila,CHEVROLET,Publico
2016,NORMAL,BUS,Valle del Cauca,CHEVROLET,Publico
2016,NORMAL,CAMION,Valle del Cauca,CHEVROLET,Publico
2016,NORMAL,CAMION,Santander,CHEVROLET,Publico
2017,NORMAL,CAMION,Valle del Cauca,CHEVROLET,Publico
2016,NORMAL,CAMION,Santander,CHEVROLET,Publico
2016,NORMAL,CAMION,Quindio,CHEVROLET,Publico
2016,NORMAL,CAMION,Valle del Cauca,CHEVROLET,Publico
2016,NORMAL,CAMION,Antioquia,CHEVROLET,Publico
2016,NORMAL,CAMION,Valle del Cauca,CHEVROLET,Publico
2016,NORMAL,CAMION,Santander,CHEVROLET,Publico
2015,NORMAL,CAMION,Meta,CHEVROLET,Oficial
2015,NORMAL,CAMION,Meta,CHEVROLET,Oficial
2017,NORMAL,MOTOCICLETA,Boyaca,SUZUKI,Particular
2016,NORMAL,BUS,Bogota D.C.,CHEVROLET,Oficial
2016,NORMAL,BUS,Bogota D.C.,CHEVROLET,Oficial
2016,NORMAL,TRACTOCAMION,Valle del Cauca,CHEVROLET,Publico
2015,NORMAL,VOLQUETA,Huila,CHEVROLET,Publico
2015,NORMAL,VOLQUETA,Huila,CHEVROLET,Publico
2015,NORMAL,VOLQUETA,Huila,CHEVROLET,Publico
2016,NORMAL,BUSETA,Bogota D.C.,CHEVROLET,Oficial
2016,NORMAL,BUSETA,Bogota D.C.,CHEVROLET,Oficial
2016,NORMAL,MOTOCARRO,Norte de Santander,AKT,Particular
2016,NORMAL,BUS,Antioquia,CHEVROLET,Publico
2016,NORMAL,BUS,Antioquia,CHEVROLET,Publico
2016,NORMAL,BUS,Bolivar,CHEVROLET,Diplomatico
2016,NORMAL,BUS,Antioquia,CHEVROLET,Publico
2016,NORMAL,BUS,Antioquia,CHEVROLET,Publico
2016,NORMAL,BUS,Antioquia,CHEVROLET,Publico
2016,NORMAL,BUS,Antioquia,CHEVROLET,Publico
2016,NORMAL,BUS,Atlantico,CHEVROLET,Publico
2016,NORMAL,BUS,Antioquia,CHEVROLET,Publico
2016,NORMAL,BUS,Antioquia,CHEVROLET,Publico
2016,NORMAL,BUS,Antioquia,CHEVROLET,Publico
2016,NORMAL,BUS,Atlantico,CHEVROLET,Publico
2016,NORMAL,BUS,Antioquia,CHEVROLET,Publico
2016,NORMAL,BUS,Antioquia,CHEVROLET,Publico
2016,NORMAL,BUS,Bolivar,CHEVROLET,Publico
2016,NORMAL,BUS,Antioquia,CHEVROLET,Publico
2016,NORMAL,BUS,Antioquia,CHEVROLET,Publico
2016,NORMAL,BUS,Cundinamarca,CHEVROLET,Publico
2016,NORMAL,BUS,Antioquia,CHEVROLET,Publico
2016,NORMAL,BUS,Bolivar,CHEVROLET,Publico
2017,NORMAL,BUS,Antioquia,CHEVROLET,Publico
2016,NORMAL,BUS,Antioquia,CHEVROLET,Publico
2016,NORMAL,BUS,Meta,CHEVROLET,Publico
2016,NORMAL,BUS,Bolivar,CHEVROLET,Publico
2016,NORMAL,BUS,Antioquia,CHEVROLET,Publico
2017,NORMAL,BUS,Antioquia,CHEVROLET,Publico
2016,NORMAL,BUS,Bolivar,CHEVROLET,Publico
2016,NORMAL,BUS,Huila,CHEVROLET,Publico
2016,NORMAL,BUS,Antioquia,CHEVROLET,Publico
2016,NORMAL,BUS,Antioquia,CHEVROLET,Publico
2016,NORMAL,MICROBUS,Huila,CHEVROLET,Publico
2016,NORMAL,MICROBUS,Arauca,CHEVROLET,Publico
2016,NORMAL,MICROBUS,Cundinamarca,CHEVROLET,Publico
2016,NORMAL,MICROBUS,Santander,CHEVROLET,Publico
2016,NORMAL,MICROBUS,Antioquia,CHEVROLET,Publico
2016,NORMAL,MICROBUS,Valle del Cauca,CHEVROLET,Publico
2017,NORMAL,BUSETA,Santander,CHEVROLET,Publico
2017,NORMAL,MICROBUS,Meta,CHEVROLET,Publico
2016,NORMAL,MICROBUS,Valle del Cauca,CHEVROLET,Publico
2016,NORMAL,BUSETA,Santander,CHEVROLET,Publico
2017,NORMAL,MICROBUS,Cundinamarca,CHEVROLET,Publico
2016,NORMAL,CAMION,Atlantico,CHEVROLET,Publico
2016,NORMAL,VOLQUETA,Atlantico,CHEVROLET,Publico
2016,NORMAL,VOLQUETA,Atlantico,CHEVROLET,Publico
2016,NORMAL,CAMION,Antioquia,CHEVROLET,Publico
2016,NORMAL,CAMION,Valle del Cauca,CHEVROLET,Publico
2016,NORMAL,CAMION,Antioquia,CHEVROLET,Publico
2016,NORMAL,CAMION,Antioquia,CHEVROLET,Publico
2016,NORMAL,CAMION,Antioquia,CHEVROLET,Publico
2016,NORMAL,CAMION,Antioquia,CHEVROLET,Publico
2016,NORMAL,CAMION,Santander,CHEVROLET,Publico
2016,NORMAL,CAMION,Antioquia,CHEVROLET,Publico
2016,NORMAL,CAMION,Valle del Cauca,CHEVROLET,Publico
2016,NORMAL,CAMION,Antioquia,CHEVROLET,Publico
2016,NORMAL,CAMION,Bogota D.C.,CHEVROLET,Particular
2016,NORMAL,MICROBUS,Narino,CHEVROLET,Publico
2016,NORMAL,MICROBUS,Narino,CHEVROLET,Publico
